正面,背面,标签
"《求是》2026年第4期《当前经济工作的重点任务》部署了几大任务？任务名称是？","六大任务：①内需主导②创新驱动③改革攻坚④对外开放⑤协调发展⑥双碳引领","时政-2月-求是"
"《当前经济工作的重点任务》第一项：坚持（ ）主导，全面激活消费和投资","内需","时政-2月-求是"
"《当前经济工作的重点任务》：加快建设（ ）高地，做强实体经济","科技创新（创新驱动）","时政-2月-求是"
"《当前经济工作的重点任务》：坚持协调发展，统筹推进（ ）和区域联动","城乡融合","时政-2月-求是"
"《当前经济工作的重点任务》："双碳"引领，协同推进（ ）四项任务","降碳、减污、扩绿、增长","时政-2月-求是"
"《当前经济工作的重点任务》：建设零碳园区、零碳工厂，加强（ ）交易市场建设","全国碳排放权","时政-2月-求是"
"《当前经济工作的重点任务》：对外开放，2026年5月1日起对（ ）全面实施零关税","53个非洲建交国","时政-2月-求是"
"《当前经济工作的重点任务》：坚持民生为大，着力稳定哪三类重点群体就业？","高校毕业生、农民工等（稳岗扩容提质行动）","时政-2月-求是"
"中央经济工作会议讲话指出：稳妥推进地方中小金融机构风险化解，同时积极有序化解（ ）风险","地方政府债务","时政-2月-求是"
"2026米兰冬奥会，苏翊鸣获得哪个项目金牌？他是中国代表团的（ ）","单板滑雪男子坡面障碍技巧；旗手（闭幕式）","时政-2月-体育"
"2026米兰冬奥会，宁忠岩获得哪个项目金牌？成绩是多少？","速度滑冰男子1500米；1分41秒98（刷新奥运会纪录）","时政-2月-体育"
"中国队在2026米兰冬奥会共获得多少枚奖牌？创下什么纪录？","5金4银6铜共15枚；境外参加冬奥会最佳战绩","时政-2月-体育"
"在全党开展树立和践行正确政绩观学习教育，以（ ）级以上领导干部为重点，何时启动、何时结束？","县处级；春节假期后启动，7月底基本结束","时政-2月-党建"
"2026年春节假期共几天？全国出游人次？旅游消费总额？","9天；5.96亿人次；8034.83亿元","时政-2月-数字"
"我国首款自主研发量子计算机操作系统名称？有何全球意义？","本源司南；全球首个开放下载的量子计算机操作系统","时政-2月-科技"
"截至2025年底，我国（ ）%以上粗钢产能实现超低排放","80%","时政-2月-生态"
"我国全国森林总面积是多少？"十四五"期间造林多少亩？","36.14亿亩；1.85亿亩（与福建省面积相近）","时政-2月-生态"
"我国国内有效发明专利达多少万件？有何历史意义？","532万件；世界上首个国内有效发明专利突破500万件的国家","时政-2月-科技"
"2026年2月，政治局会议审议了哪两份重大文件？","十五五规划纲要草案 + 2026年政府工作报告","时政-2月-政治"
"国务院常务会议研究推进（ ）经济和养老服务发展，指出我国（ ）经济潜力很大","银发；银发","时政-2月-民生"
"2026中关村论坛年会时间、主题是？","3月25-29日在北京；主题：科技创新与产业创新深度融合","时政-2月-科技"
"赵心童夺得2026斯诺克球员锦标赛冠军，决赛以多少比分获胜？","10-7战胜约翰·希金斯","时政-2月-体育"
